id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jarak,jumlah_desa,satuan,tahun
191,32,JAWA BARAT,3201,KABUPATEN BOGOR,0-1000 M,388,DESA,2022
192,32,JAWA BARAT,3201,KABUPATEN BOGOR,1001-2000 M,17,DESA,2022
193,32,JAWA BARAT,3201,KABUPATEN BOGOR,2001-3000 M,3,DESA,2022
194,32,JAWA BARAT,3201,KABUPATEN BOGOR,3001-4000 M,5,DESA,2022
195,32,JAWA BARAT,3201,KABUPATEN BOGOR,>4000 M,3,DESA,2022
196,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0-1000 M,364,DESA,2022
197,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1001-2000 M,10,DESA,2022
198,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2001-3000 M,5,DESA,2022
199,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3001-4000 M,2,DESA,2022
200,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>4000 M,0,DESA,2022
201,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0-1000 M,312,DESA,2022
202,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1001-2000 M,20,DESA,2022
203,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2001-3000 M,11,DESA,2022
204,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3001-4000 M,8,DESA,2022
205,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>4000 M,3,DESA,2022
206,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0-1000 M,265,DESA,2022
207,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1001-2000 M,5,DESA,2022
208,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2001-3000 M,0,DESA,2022
209,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3001-4000 M,0,DESA,2022
210,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>4000 M,0,DESA,2022
211,32,JAWA BARAT,3205,KABUPATEN GARUT,0-1000 M,407,DESA,2022
212,32,JAWA BARAT,3205,KABUPATEN GARUT,1001-2000 M,12,DESA,2022
213,32,JAWA BARAT,3205,KABUPATEN GARUT,2001-3000 M,0,DESA,2022
214,32,JAWA BARAT,3205,KABUPATEN GARUT,3001-4000 M,1,DESA,2022
215,32,JAWA BARAT,3205,KABUPATEN GARUT,>4000 M,1,DESA,2022
216,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0-1000 M,326,DESA,2022
217,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1001-2000 M,15,DESA,2022
218,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2001-3000 M,5,DESA,2022
219,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3001-4000 M,4,DESA,2022
220,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>4000 M,1,DESA,2022
221,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0-1000 M,255,DESA,2022
222,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1001-2000 M,2,DESA,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2001-3000 M,1,DESA,2022
224,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3001-4000 M,0,DESA,2022
225,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>4000 M,0,DESA,2022
226,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0-1000 M,356,DESA,2022
227,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1001-2000 M,5,DESA,2022
228,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2001-3000 M,0,DESA,2022
229,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3001-4000 M,0,DESA,2022
230,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>4000 M,0,DESA,2022
231,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-1000 M,408,DESA,2022
232,32,JAWA BARAT,3209,KABUPATEN CIREBON,1001-2000 M,4,DESA,2022
233,32,JAWA BARAT,3209,KABUPATEN CIREBON,2001-3000 M,0,DESA,2022
234,32,JAWA BARAT,3209,KABUPATEN CIREBON,3001-4000 M,0,DESA,2022
235,32,JAWA BARAT,3209,KABUPATEN CIREBON,>4000 M,0,DESA,2022
236,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0-1000 M,329,DESA,2022
237,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1001-2000 M,0,DESA,2022
238,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2001-3000 M,0,DESA,2022
239,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3001-4000 M,1,DESA,2022
240,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>4000 M,0,DESA,2022
241,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0-1000 M,267,DESA,2022
242,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1001-2000 M,2,DESA,2022
243,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2001-3000 M,1,DESA,2022
244,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3001-4000 M,0,DESA,2022
245,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>4000 M,0,DESA,2022
246,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-1000 M,297,DESA,2022
247,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1001-2000 M,11,DESA,2022
248,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2001-3000 M,0,DESA,2022
249,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3001-4000 M,1,DESA,2022
250,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>4000 M,0,DESA,2022
251,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-1000 M,233,DESA,2022
252,32,JAWA BARAT,3213,KABUPATEN SUBANG,1001-2000 M,9,DESA,2022
253,32,JAWA BARAT,3213,KABUPATEN SUBANG,2001-3000 M,1,DESA,2022
254,32,JAWA BARAT,3213,KABUPATEN SUBANG,3001-4000 M,0,DESA,2022
255,32,JAWA BARAT,3213,KABUPATEN SUBANG,>4000 M,2,DESA,2022
256,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-1000 M,162,DESA,2022
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1001-2000 M,13,DESA,2022
258,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2001-3000 M,3,DESA,2022
259,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3001-4000 M,4,DESA,2022
260,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>4000 M,1,DESA,2022
261,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-1000 M,275,DESA,2022
262,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1001-2000 M,17,DESA,2022
263,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2001-3000 M,0,DESA,2022
264,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3001-4000 M,3,DESA,2022
265,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>4000 M,2,DESA,2022
266,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-1000 M,171,DESA,2022
267,32,JAWA BARAT,3216,KABUPATEN BEKASI,1001-2000 M,7,DESA,2022
268,32,JAWA BARAT,3216,KABUPATEN BEKASI,2001-3000 M,1,DESA,2022
269,32,JAWA BARAT,3216,KABUPATEN BEKASI,3001-4000 M,1,DESA,2022
270,32,JAWA BARAT,3216,KABUPATEN BEKASI,>4000 M,0,DESA,2022
271,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-1000 M,160,DESA,2022
272,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1001-2000 M,5,DESA,2022
273,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2001-3000 M,0,DESA,2022
274,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3001-4000 M,0,DESA,2022
275,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>4000 M,0,DESA,2022
276,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-1000 M,90,DESA,2022
277,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1001-2000 M,3,DESA,2022
278,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2001-3000 M,0,DESA,2022
279,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3001-4000 M,0,DESA,2022
280,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>4000 M,0,DESA,2022
281,32,JAWA BARAT,3279,KOTA BANJAR,0-1000 M,16,DESA,2022
282,32,JAWA BARAT,3279,KOTA BANJAR,1001-2000 M,0,DESA,2022
283,32,JAWA BARAT,3279,KOTA BANJAR,2001-3000 M,0,DESA,2022
284,32,JAWA BARAT,3279,KOTA BANJAR,3001-4000 M,0,DESA,2022
285,32,JAWA BARAT,3279,KOTA BANJAR,>4000 M,0,DESA,2022
286,32,JAWA BARAT,3201,KABUPATEN BOGOR,0-1000 M,338,DESA,2023
287,32,JAWA BARAT,3201,KABUPATEN BOGOR,1001-2000 M,36,DESA,2023
288,32,JAWA BARAT,3201,KABUPATEN BOGOR,2001-3000 M,17,DESA,2023
289,32,JAWA BARAT,3201,KABUPATEN BOGOR,3001-4000 M,8,DESA,2023
290,32,JAWA BARAT,3201,KABUPATEN BOGOR,>4000 M,17,DESA,2023
291,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0-1000 M,310,DESA,2023
292,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1001-2000 M,32,DESA,2023
293,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2001-3000 M,25,DESA,2023
294,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,3001-4000 M,5,DESA,2023
295,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,>4000 M,9,DESA,2023
296,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0-1000 M,271,DESA,2023
297,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1001-2000 M,28,DESA,2023
298,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2001-3000 M,12,DESA,2023
299,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3001-4000 M,5,DESA,2023
300,32,JAWA BARAT,3203,KABUPATEN CIANJUR,>4000 M,38,DESA,2023
301,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0-1000 M,251,DESA,2023
302,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1001-2000 M,11,DESA,2023
303,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2001-3000 M,5,DESA,2023
304,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3001-4000 M,1,DESA,2023
305,32,JAWA BARAT,3204,KABUPATEN BANDUNG,>4000 M,2,DESA,2023
306,32,JAWA BARAT,3205,KABUPATEN GARUT,0-1000 M,355,DESA,2023
307,32,JAWA BARAT,3205,KABUPATEN GARUT,1001-2000 M,37,DESA,2023
308,32,JAWA BARAT,3205,KABUPATEN GARUT,2001-3000 M,15,DESA,2023
309,32,JAWA BARAT,3205,KABUPATEN GARUT,3001-4000 M,3,DESA,2023
310,32,JAWA BARAT,3205,KABUPATEN GARUT,>4000 M,11,DESA,2023
311,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0-1000 M,294,DESA,2023
312,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1001-2000 M,20,DESA,2023
313,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2001-3000 M,12,DESA,2023
314,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,3001-4000 M,9,DESA,2023
315,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,>4000 M,16,DESA,2023
316,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0-1000 M,236,DESA,2023
317,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1001-2000 M,9,DESA,2023
318,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2001-3000 M,4,DESA,2023
319,32,JAWA BARAT,3207,KABUPATEN CIAMIS,3001-4000 M,4,DESA,2023
320,32,JAWA BARAT,3207,KABUPATEN CIAMIS,>4000 M,5,DESA,2023
321,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0-1000 M,341,DESA,2023
322,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1001-2000 M,6,DESA,2023
323,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2001-3000 M,3,DESA,2023
324,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3001-4000 M,4,DESA,2023
325,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,>4000 M,7,DESA,2023
326,32,JAWA BARAT,3209,KABUPATEN CIREBON,0-1000 M,393,DESA,2023
327,32,JAWA BARAT,3209,KABUPATEN CIREBON,1001-2000 M,11,DESA,2023
328,32,JAWA BARAT,3209,KABUPATEN CIREBON,2001-3000 M,3,DESA,2023
329,32,JAWA BARAT,3209,KABUPATEN CIREBON,3001-4000 M,2,DESA,2023
330,32,JAWA BARAT,3209,KABUPATEN CIREBON,>4000 M,3,DESA,2023
331,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0-1000 M,308,DESA,2023
332,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1001-2000 M,14,DESA,2023
333,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2001-3000 M,4,DESA,2023
334,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,3001-4000 M,0,DESA,2023
335,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,>4000 M,4,DESA,2023
336,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0-1000 M,260,DESA,2023
337,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1001-2000 M,7,DESA,2023
338,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2001-3000 M,0,DESA,2023
339,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,3001-4000 M,1,DESA,2023
340,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,>4000 M,2,DESA,2023
341,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0-1000 M,252,DESA,2023
342,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1001-2000 M,26,DESA,2023
343,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2001-3000 M,20,DESA,2023
344,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,3001-4000 M,9,DESA,2023
345,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,>4000 M,2,DESA,2023
346,32,JAWA BARAT,3213,KABUPATEN SUBANG,0-1000 M,215,DESA,2023
347,32,JAWA BARAT,3213,KABUPATEN SUBANG,1001-2000 M,11,DESA,2023
348,32,JAWA BARAT,3213,KABUPATEN SUBANG,2001-3000 M,11,DESA,2023
349,32,JAWA BARAT,3213,KABUPATEN SUBANG,3001-4000 M,5,DESA,2023
350,32,JAWA BARAT,3213,KABUPATEN SUBANG,>4000 M,3,DESA,2023
351,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0-1000 M,139,DESA,2023
352,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1001-2000 M,21,DESA,2023
353,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2001-3000 M,9,DESA,2023
354,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,3001-4000 M,5,DESA,2023
355,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,>4000 M,9,DESA,2023
356,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0-1000 M,234,DESA,2023
357,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1001-2000 M,31,DESA,2023
358,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2001-3000 M,13,DESA,2023
359,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3001-4000 M,6,DESA,2023
360,32,JAWA BARAT,3215,KABUPATEN KARAWANG,>4000 M,13,DESA,2023
361,32,JAWA BARAT,3216,KABUPATEN BEKASI,0-1000 M,154,DESA,2023
362,32,JAWA BARAT,3216,KABUPATEN BEKASI,1001-2000 M,9,DESA,2023
363,32,JAWA BARAT,3216,KABUPATEN BEKASI,2001-3000 M,7,DESA,2023
364,32,JAWA BARAT,3216,KABUPATEN BEKASI,3001-4000 M,1,DESA,2023
365,32,JAWA BARAT,3216,KABUPATEN BEKASI,>4000 M,8,DESA,2023
366,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0-1000 M,152,DESA,2023
367,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1001-2000 M,4,DESA,2023
368,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2001-3000 M,5,DESA,2023
369,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,3001-4000 M,3,DESA,2023
370,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,>4000 M,1,DESA,2023
371,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0-1000 M,75,DESA,2023
372,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,1001-2000 M,10,DESA,2023
373,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2001-3000 M,4,DESA,2023
374,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,3001-4000 M,3,DESA,2023
375,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,>4000 M,1,DESA,2023
376,32,JAWA BARAT,3279,KOTA BANJAR,0-1000 M,16,DESA,2023
377,32,JAWA BARAT,3279,KOTA BANJAR,1001-2000 M,0,DESA,2023
378,32,JAWA BARAT,3279,KOTA BANJAR,2001-3000 M,0,DESA,2023
379,32,JAWA BARAT,3279,KOTA BANJAR,3001-4000 M,0,DESA,2023
380,32,JAWA BARAT,3279,KOTA BANJAR,>4000 M,0,DESA,2023
